Date,District,Confirmed,Confirmed-total
08/08/2020,Mulanje,0,35
08/08/2020,Mwanza,0,25
08/08/2020,Mwanza PoE,0,202
08/08/2020,Mzimba North,3,508
08/08/2020,Mzimba South,0,124
08/08/2020,Neno,0,60
08/08/2020,Nkhata Bay,0,168
08/08/2020,Nkhotakota,0,40
08/08/2020,Nsanje,0,37
08/08/2020,Ntcheu,0,42
08/08/2020,Ntchisi,0,2
08/08/2020,Phalombe,0,10
08/08/2020,Rumphi,0,30
08/08/2020,Salima,0,44
08/08/2020,Thyolo,5,56
08/08/2020,Zomba,5,137
08/09/2020,Balaka,0,42
08/09/2020,Blantyre,18,1444
08/09/2020,Chikwawa,0,39
08/09/2020,Chiradzulu,0,23
08/09/2020,Chitipa,0,52
08/09/2020,Dedza,0,34
08/09/2020,Dowa,0,65
08/09/2020,Karonga,1,73
08/09/2020,Kasungu,2,45
08/09/2020,Likoma,0,5
08/09/2020,Lilongwe,6,1060
08/09/2020,Machinga,0,65
08/09/2020,Mangochi,0,133
08/09/2020,Mchinji,0,51
08/09/2020,Mulanje,0,35
08/09/2020,Mwanza,0,25
08/09/2020,Mwanza PoE,0,202
08/09/2020,Mzimba ,0,124
08/09/2020,Mzimba North,3,511
08/09/2020,Neno,0,60
08/09/2020,Nkhata Bay,1,169
08/09/2020,Nkhotakota,3,43
08/09/2020,Nsanje,0,37
08/09/2020,Ntcheu,0,42
08/09/2020,Ntchisi,0,2
08/09/2020,Phalombe,0,10
08/09/2020,Rumphi,0,30
08/09/2020,Salima,0,44
08/09/2020,Thyolo,0,56
08/09/2020,Zomba,0,137
08/10/2020,Balaka,0,42
08/10/2020,Blantyre,4,1448
08/10/2020,Chikwawa,2,41
08/10/2020,Chiradzulu,1,24
08/10/2020,Chitipa,0,52
08/10/2020,Dedza,0,34
08/10/2020,Dowa,1,66
08/10/2020,Karonga,0,73
08/10/2020,Kasungu,1,46
08/10/2020,Likoma,0,5
08/10/2020,Lilongwe,4,1064
08/10/2020,Machinga,0,65
08/10/2020,Mangochi,0,133
08/10/2020,Mchinji,1,52
08/10/2020,Mulanje,0,35
08/10/2020,Mwanza,0,25
08/10/2020,Mwanza PoE,0,202
08/10/2020,Mzimba ,1,125
08/10/2020,Mzimba North,1,512
08/10/2020,Neno,0,60
08/10/2020,Nkhata Bay,0,169
08/10/2020,Nkhotakota,0,43
08/10/2020,Nsanje,0,37
08/10/2020,Ntcheu,0,42
08/10/2020,Ntchisi,0,2
08/10/2020,Phalombe,0,10
08/10/2020,Rumphi,0,30
08/10/2020,Salima,0,44
08/10/2020,Thyolo,0,56
08/10/2020,Zomba,0,137
08/11/2020,Balaka,0,42
08/11/2020,Blantyre,14,1462
08/11/2020,Chikwawa,0,41
